Name,Category,Address,PLZ,City,Phone,Fax,Email,Website,Verified,Need_New_Website,I_Made_Website,Wants_To_Buy,Status,Last_Contact,Notes
Oana Sidonia Dendorf,Traduceri ro-de,Senefelderstraße 50,73760,Ostfildern,0711 79475494,0172 2639532,office@dendorf.com,http://www.dendorf.com,1,,,,,,
Otto Schuster,Traduceri ro-de,Eva-Zeisel-Str. 4,78713,Schramberg,0176 62712091,,otto.schuster@ottoschuster.de,http://www.ottoschuster.de/,1,1.0,,,,,
Ovidiu-Mihai Krebelder Arseni,Avocat,John-F.-Kennedy-Allee 19/3,71686,- Remseck,0714 19920182,07141-2798481,krebelder-arseni@gmx.de,http://www.avocat-romania.eu,1,,,,,,
Parohia Berlin,Preot: Ieromonah Clement Lodroman,Heerstr. 63,14055,Berlin-Charlottenburg,,,,http://www.biserica-romana-berlin.de/,1,,,,,,
Parohia Darmstadt,Preot: Gheorghe Bularcă,Mollerstr. 40,64289,Darmstadt,,,biserica_darmstadt@yahoo.com,http://www.biserica-darmstadt.de,1,,,,,,
Parohia Dortmund,Preot Dr. Ruja Ispas,"Körner Hellweg 33, D-",44143,Dortmund,,,,http://www.biserica-dortmund.de/,1,,,,,,
Parohia Karlsruhe,Preot Marius Mezinca,Durlacher Allee 23,76131,Karlsruhe,,,,http://bor-karlsruhe.jimdo.com/,1,,,,,,
Parohia Koblenz,Preot Ștefan Baleca,Koblenzer Strasse 16,56073,Koblenz,,,,http://www.biserica-koblenz.de/,1,,,,,,
Parohia München (Buna Vestire),Preot Simion Felecan,Fasangarten Str. 127a,81549,München,,,info@buna-vestire.de,http://www.buna-vestire.de/,1,,,,,,
Parohia Nürnberg,Preot: Teofil Herineanu,"Fürtherstraße 166-168, D-90429 Nürnberg",,,,,manastirea@mitropolia-ro.de,http://www.mitropolia-ro.de/,1,,,,,,
Parohia Offenbach am Main,Preot Ştefan Anghel,Backstrasse 16,63069,Offenbach am Main Deutschland,0174 1605808,,rok103@aol.com,http://biserica.comeurom.net/,1,,,,,,
Parohia Saarbrücken (Invierea Domnului),preot Vasile Molnar,Pfählerstr. 2,66117,Saarbrücken,0159 03766718,,,http://www.orthodoxie-saarbrucken.org,1,,,,,,
Parohia Straubing,Preot Vasile Florin Reut,Theresienplatz 46,94315,Straubing,,,,http://www.credinta-ortodoxa.com/,1,,,,,,
Patricia Merfu,Traduceri ro-de,Brüderstr. 9,59555,Lippstadt,0294 19337550 / 0176 65796019,,info@merfu-translations.com,http://www.merfu-translations.com/,1,1.0,,,,,
Paul Popescu,Avocat,Spichernstr. 44,50672,Köln,0160 96667700,0221-29219449,p.popescu@leupertz.com,https://www.leupertz.com/popescu/,1,,,,,,
Pavio Windows & Doors,Constructii,,,Târgu Mureș,075 6103908,,anca.verenca@gmail.com,https://paviowindows.com/,,,,,,,
Peter Mahnke,Traduceri ro-de,Joseph-Haas-Str. 14,76593,Gernsbach,0722 440095,,,http://uebersetzer-rumaenisch.de/,1,,,,,,
Praxis Dr.Lucia Antonie Zahnärztin,Stomatologie,Pestalozzistr. 8,68169,Mannheim,0621 313367,,,,,,,,,,
Ramona Worm,Traduceri ro-de,Postfach 27 02 25,13472,Berlin,0303 1802624,0178 1878220,info@deutsch-romana.com,http://www.deutsch-romana.com,1,,,,,,
Ramona Zamfirescu,Avocat,Wendelsteiner Str. 2a,91126,Schwabach,0912 283230,09122 8323-33,kanzlei@foerster-foerster.de,http://www.foerster-foerster.de,1,,,,,,
Restaurant Românesc Transilvania,Restaurant cu specific romanesc,Heinrichstr. 2,66115,Saarbrücken – Burbach,0681 98913924 / 0151 43565246,,tomescumarius65@gmail.com,https://www.xn--transilvania-saarbrcken-upc.de/,1,,,,,,
Robert Glötzl și Drd. Lorena Glötzl,Avocat,Hintere Keilbergstr. 52,93055,Regensburg,0941 466170,0941-4661720,buero@gloetzl-rechtsanwaelte.de,http://www.gloetzl-rechtsanwaelte.de,1,1.0,,,,,
ROCKET MEDIA,Digital Marketing,remote,,remote,0152 10882946,,rocketmedia.ro@gmail.com,https://rocketmedia.ro/,,,,,,,
Roland Bizau,Stomatologie,Katzwanger Hauptstr. 50,,Nurnberg,0911 6324864,,info@zahnarzt-dr-bizau.de,https://www.zahnarzt-dr-bizau.de/home.html,,,,,,,
Roland Botar,Stomatologie,Frankenstraße 151,90461,Nürnberg,0911 43122842,,praxis@zahnarzt-botar.de,http://www.zahnarzt-botar.de/,,,,,,,
RR-Gebäudereinigung,Curatenie,Erich-Klausener-Straße 26,40789,Monheim am Rhein,0177 2239256,,info@rr-gebaudereinigung.de,https://www.rr-gebaudereinigung.de/,,,,,,,
Simona Sommer,Contabil,Am Stein 9,85049,Ingolstadt,0892 3249530,,info@kisslinger-popp.de,http://www.kisslinger-popp.de/,1,,,,,,
Smaranda Liana Machert,Traduceri ro-de,Mergentalweg 8,44269,Dortmund,0231 734247,0177 7342470,info@machert-uebersetzungen.de,http://www.machert-uebersetzungen.de,1,1.0,,,,,
StefanCleaning,Curatenie,Kronenstraße 10,76337,Waldbronn,0151 66253534,,hallo@stefancleaning.de,https://karlsruhe-reinigungsservice.de/,,,,,,,
Stefania Schrag-Slavu,Avocat,Schwerinstr. 40,40477,Düsseldorf,0211 16971051,0211-16971052,info@kanzlei-slavu.de,http://www.kanzlei-slavu.de,1,1.0,,,,,
Stella Dragu,Stomatologie,Josephsplatz 8,90461,Nürnberg,0911 2059444,,info@zahnarzt-dragu.de,https://www.zahnarzt-dragu.de/,,,,,,,
Steuerkanzlei Tatiana Karch,Contabil,Franckstraße 19,71665,Vaihingen an der Enz,0704 23756128,,info@steuerberatung-karch.de,,,,,,,,
Suzan Ajami,Avocat,Eschersheimer Landstr. 60/62,60322,Frankfurt am Main,0692 47439990 / 0163 5975136,069 - 247439999,mail@suzanajami.com,http://suzanajami.com/,1,,,,,,
Teofil Blaj,Traduceri ro-de,Tönisstraße 34,40599,Düsseldorf,0151 11610700,,info@atomic-sprachendienst.de,http://atomic-sprachendienst.de,1,,,,,,
Transilvania Bites,Restaurant,Industriestraße 57,,Ludwigshafen,0176 75716373,,,,,,,,,,
Victor Ivanov,Traduceri ro-de,Von-der-Tann-Str. 15,44143,Dortmund,0176 24489428,,v.ivanov@berufsdolmetscher.de,https://berufsdolmetscher.de,1,,,,,,
ViHaTec GmbH Meisterbetrieb,"Sanitar, Heizung, Klima",Wildenbergerstrasse 1,93352,Rohr in Niederbayern,0152 02998117,,info@vihatec.com,www.vihatec.website,,,,,,,
Viorel Simion,Stomatologie,Teckstraße 11,,Stuttgart,0711  2622002,,dr.viorelsimion@t-online.de,http://zahnarzt-simion.de/index.html,,,,,,,
Weinberg Consulting,Contabil,Eschersheimer Landstraße 68,60322,Frankfurt am Main,0162 33993350,,office@weinberg-consult.de,http://weinberg-consult.com/contabilitate/,1,,,,,,
ZAHNARZTPRAXIS DOCTOR-MEDIC STOM. KOGAN & KOLLEGEN,Stomatologie,Schönhauser Allee 48,10437,Berlin,030 4440978,,info@kogan-berlin.de,https://zahnarztpraxis-kogan.com/,,,,,,,
Zahnarztpraxis Dr. medic stom. Anca Vogel,Stomatologie,Schulstraße 24,69214,Eppelheim,0622 176 4507,,info@zahnarzt-eppelheim.de,https://www.zahnarzt-eppelheim.de/,,,,,,,
Zahnarztpraxis Dr. medic. stom. Catalina Bocovan,Stomatologie,Tituscorso 2-4,60439,Frankfurt am Main,069 570912,,info.dr.bocovan@gmail.com,https://www.zahnarztpraxis-dr-bocovan.de/,,,,,,,
Zahnarztpraxis Dr.* Gheorghe Popovici,Stomatologie,Taubenstr. 20-22,10117,Berlin,030 20673030,,zahnmedizin@ars-vitae-medical.de,https://www.ars-vitae-medical.de/,,,,,,,
Zahnarztpraxis Gabriela Roșianu,Stomatologie,Wandsbeker Chaussee 101,22089,Hamburg,040 207971,,info@praxis-rosianu.de,https://www.praxis-rosianu.de/,,,,,,,
